symbol,name,sector,price,price_per_earnings,dividend_yield,dividend,earnings_per_share,low_52wk,high_52wk,market_cap,ebitda,price_per_sales
MMM,3M Company,Industrials,222.89,24.31,2.3328617,5.19971544313,7.92,259.77,175.49,138721055226,9048000000,4.3902707
AOS,A.O. Smith Corp,Industrials,60.24,27.76,1.1479592,0.69153062208,1.7,68.39,48.925,10783419933,601000000,3.5754826
ABT,Abbott Laboratories,Health Care,56.27,22.51,1.9089824,1.07418439648,0.26,64.6,42.28,102121042306,5744000000,3.7404804
ABBV,AbbVie Inc.,Health Care,108.48,19.41,2.4995599,2.71152257952,3.29,125.86,60.05,181386347059,10310000000,6.291571
ACN,Accenture plc,Information Technology,150.51,25.47,1.7144699,2.58044864649,5.44,162.6,114.82,98765855553,5643228000,2.604117
ATVI,Activision Blizzard,Information Technology,65.83,31.8,0.43190324,0.284321902892,1.28,74.945,38.93,52518668144,2704000000,10.59512
AYI,Acuity Brands Inc,Industrials,145.41,18.22,0.35118526,0.510658486566,7.43,225.36,142,6242377704,587800000,1.7953473
ADBE,Adobe Systems Inc,Information Technology,185.16,52.31,0,0,3.39,204.45,114.451,94550214268,2538040000,13.092818
AAP,Advance Auto Parts,Consumer Discretionary,109.63,19.54,0.21832074,0.23934502726200002,6.19,169.55,78.81,8123611867,853941000,1.1301061
AMD,Advanced Micro Devices Inc,Information Technology,11.22,187,0,0,0.03,15.65,9.7,11191663795,339000000,2.1091955
AES,AES Corp,Utilities,10.06,9.96,4.961832,0.49916029920000005,-1.72,12.05,10,6920851212,3001000000,0.65951383
AET,Aetna Inc,Health Care,178,18.11,1.101989,1.9615404200000004,5.75,194.4,119.51,59197016353,4139000000,0.9923546
AMG,Affiliated Managers Group Inc,Financials,179.11,12.24,0.6387395,1.14404631845,12.07,216.995,148.81,10442174371,1261400000,4.591235
AFL,AFLAC Inc,Financials,83.25,12.24,2.4299066,2.0228972444999997,11.01,91.73,68.8,33422948000,0,1.5429344
A,Agilent Technologies Inc,Health Care,65.05,27.45,0.8756979,0.56964148395,2.1,75,49.23,21984606918,1094000000,6.493563
APD,Air Products & Chemicals Inc,Materials,152.8,24.22,2.7811136,4.2495415808,13.66,175.17,133.6301,34638387128,2542500000,4.1163683
AKAM,Akamai Technologies Inc,Information Technology,62.49,32.55,0,0,1.79,69.56,44.65,10906904066,789517000,5.8546524
ALK,Alaska Air Group Inc,Industrials,64.04,9.66,1.9928383,1.27621364732,8.28,101.43,59.25,7903173734,1665000000,0.9801092
ALB,Albemarle Corp,Materials,105.18,26.03,1.2004126,1.26259397268,5.66,144.99,90.35,11782151266,686030000,5.3666205
ARE,Alexandria Real Estate Equities Inc,Real Estate,114.58,19.03,3.0262272,3.46745112576,1.57,134.37,106.89,12043374429,0,10.492155
ALXN,Alexion Pharmaceuticals,Health Care,108.47,22.18,0,0,1.77,149.34,96.18,26172439795,1072000000,9.720562
ALGN,Align Technology,Health Care,220.71,56.59,0,0,2.84,287.32,92.61,18788041378,380326000,13.138819
ALLE,Allegion,Industrials,77.32,21.07,0.8004002,0.61886943464,2.37,89.81,66.72,7599609494,531800000,4.265232
AGN,"Allergan, Plc",Health Care,164.2,10.65,1.643289,2.6982805379999997,38.35,256.8,160.07,56668833898,-2888100000,4.820115
ADS,Alliance Data Systems,Information Technology,240.6,13.02,0.9240122,2.2231733532,14.13,278.33,209,13632608582,2143200000,1.7282298
LNT,Alliant Energy Corp,Utilities,37.14,19.86,3.5733333,1.32713598762,1.65,45.55,36.84,8670163500,1168400000,3.4331481
ALL,Allstate Corp,Financials,90.06,13.26,1.5278208,1.37595541248,4.68,105.36,77.73,34759468905,0,1.2085556
GOOGL,Alphabet Inc Class A,Information Technology,1007.71,31.48,0,0,22.27,1198,824.3,733823966137,34217000000,6.801692
GOOG,Alphabet Inc Class C,Information Technology,1001.52,40.29,0,0,22.27,1186.89,803.1903,728535558140,32714000000,6.772653
MO,Altria Group Inc,Consumer Staples,64.05,18.89,3.9526875,2.5316963437499997,5.31,77.79,60.01,126985101434,10773000000,4.945682
AMZN,Amazon.com Inc,Consumer Discretionary,1350.5,296.16,0,0,6.16,1498,812.5,685873374731,16132000000,3.927053
AEE,Ameren Corp,Utilities,52.59,20.38,3.4404964,1.80935705676,2.68,64.89,51.81,12905744906,2298000000,2.693119
AAL,American Airlines Group,Industrials,48.6,9.92,0.7782101,0.37821010860000004,3.91,59.08,39.21,24594852352,5761000000,0.58022565
AEP,American Electric Power,Utilities,63.38,17.32,3.8479443,2.43882709734,1.24,78.07,62.69,31701916517,4450800000,2.7489934
AXP,American Express Co,Financials,88.34,15,1.4955667,1.32118362278,2.9,102.385,75.51,80410990000,0,2.273575
AIG,"American International Group, Inc.",Financials,58.28,23.22,2.1167521,1.2336431238799999,-0.76,67.3,57.85,54360073164,0,1.4686536
AMT,American Tower Corp A,Real Estate,133.57,20.68,2,2.6713999999999998,1.97,155.28,103.36,59213892640,3792383000,11.954137
AWK,American Water Works Company Inc,Utilities,76.06,26.23,2.129297,1.6195432982000002,2.63,92.37,71.89,13906146184,1711000000,5.553833
AMP,Ameriprise Financial,Financials,152.5,12.41,2.0735743,3.1622008075,9.44,183.9,118.84,23472126000,0,1.9493247
ABC,AmerisourceBergen Corp,Health Care,91.55,15.54,1.6132456,1.4769263468,1.64,106.27,71.9,20587704101,991884000,0.17396984
AME,AMETEK Inc,Industrials,72.05,27.61,0.75512403,0.5440668636149999,2.94,78.51,51.31,17139651923,1025763000,4.015368
AMGN,Amgen Inc,Health Care,173.12,13.76,2.9751508,5.150581064960001,2.57,201.23,152.16,128133340000,11945000000,5.58192
APH,Amphenol Corp,Information Technology,84.44,25.9,0.8608971,0.7269415112400001,2.05,93.62,67.26,26955335395,1671700000,3.85675
APC,Anadarko Petroleum Corp,Energy,56.2,-21.29,1.7029973,0.9570844826000001,-5.9,70,39.96,32129091747,3115000000,3.9682212
ADI,"Analog Devices, Inc.",Information Technology,82.68,17.67,2.108963,1.7436906084000003,2.11,98.38,74.65,31811578855,1663384000,8.00391
ANDV,Andeavor,Energy,96.9,18.78,2.3454583,2.2727490927000003,6.13,121.71,75.11,15696449735,2548000000,0.6618165
ANSS,ANSYS,Information Technology,148.84,42.53,0,0,2.99,164.9,94.52,13155919129,458515000,16.8134
ANTM,Anthem Inc.,Health Care,230.57,19.23,1.2581781,2.90098124517,14.36,267.95,156.81,61221978627,0,0.6696521
AON,Aon plc,Financials,136.05,20.8,1.0245464,1.3938953772000002,4.66,152.78,113.2201,35123123422,1858000000,3.4972682
APA,Apache Corporation,Energy,37.73,-251.53,2.528445,0.9539822984999999,-3.72,57.9,38.14,15066280977,3265000000,3.651366
AIV,Apartment Investment & Management,Real Estate,38.21,15.6,3.876562,1.4812343401999999,1.95,46.855,38.85,6156884142,874871000,6.187621
AAPL,Apple Inc.,Information Technology,155.15,16.86,1.5795412,2.4506581718000002,9.2,180.1,131.12,809508034020,79386000000,3.4586093
AMAT,Applied Materials Inc,Information Technology,45.75,14.08,0.8215239,0.37584718424999997,3.17,60.89,34.58,51296481503,4336000000,4.7020154
APTV,Aptiv Plc,Consumer Discretionary,89.27,69.74,0.9392678,0.83848436506,5.05,96.91,82.97,24906530300,2370000000,1.5025798
ADM,Archer-Daniels-Midland Co,Consumer Staples,41.35,17.45,3.1761081,1.31332069935,2.17,47.44,38.59,23594770663,2927000000,0.52478915
ARNC,Arconic Inc,Industrials,24.45,20.21,0.9561753,0.23378486085,-0.21,31.17,21.755,12123300000,1517000000,0.94214815
AJG,Arthur J. Gallagher & Co.,Financials,64.4,21.05,2.4807138,1.5975796872000003,2.54,70.55,53.63,11968488290,888000000,1.9400215
AIZ,Assurant Inc,Financials,85.16,33.27,2.5313594,2.15570566504,9.08,106.985,85.91,4653993594,0,0.9821866
T,AT&T Inc,Telecommunication Services,35.57,12.14,5.4156513,1.9263471674100001,4.76,42.7,32.55,226713270000,49653000000,1.4083152
ADSK,Autodesk Inc,Information Technology,104.81,-77.07,0,0,-2.61,131.1,81.75,24348294504,-378100000,16.50682
ADP,Automatic Data Processing,Information Technology,108.25,29.34,2.2190912,2.4021662239999997,3.85,125.24,95.5,50337702249,2767400000,4.0483294
AZO,AutoZone Inc,Consumer Discretionary,718.57,16.31,0,0,44.09,797.89,491.13,19922021415,2347304000,1.8510429
AVB,"AvalonBay Communities, Inc.",Real Estate,154.94,17.97,3.7149355,5.7559210637,6.36,199.52,156.01,21856547430,1331579000,10.251216
AVY,Avery Dennison Corp,Materials,110.77,22.11,1.5682175,1.73711452475,3.11,123.67,78.471,10104814319,831200000,1.5206499
BHGE,"Baker Hughes, a GE Company",Energy,27.5,305.56,2.4991322,0.687261355,-0.31,57.73,28.03,32995712852,285000000,1.9390045
BLL,Ball Corp,Materials,38.44,20.56,1.0170354,0.39094840776,0.85,43.24,35.6,13767688518,1317000000,1.5696399
BAC,Bank of America Corp,Financials,29.74,16.34,1.536,0.45680639999999995,1.55,32.67,22.07,321478200969,0,3.2011874
BAX,Baxter International Inc.,Health Care,62.56,25.12,0.97635394,0.610807024864,1.29,72.58,48.15,35713732553,1832000000,3.4394414
BBT,BB&T Corporation,Financials,51.07,16.26,2.4526198,1.25255293186,2.74,55.99,41.17,42087562920,0,3.4552107
BDX,Becton Dickinson,Health Care,211.44,22.28,1.3518385,2.8583273244,4.65,248.3888,175.66,50910180308,1537000000,5.6912947
BRK.B,Berkshire Hathaway,Financials,191.42,30.43,0,0,9.76,217.62,160.93,261401203633,0,1.4328232
BBY,Best Buy Co. Inc.,Consumer Discretionary,68.79,19.22,1.9085041,1.3128599703900001,3.81,78.59,41.67,20831186176,2555000000,0.76715523
BIIB,Biogen Inc.,Health Care,311.79,14.3,0,0,11.94,370.57,244.28,69157726427,6511400000,5.737439
BLK,BlackRock,Financials,509.38,22.49,2.1643558,11.024795574039999,30.3,594.52,368,85907759858,5684000000,6.9158196
HRB,Block H&R,Financials,25.19,12.29,3.7296038,0.9394871972200001,1.92,31.8,19.85,5381433872,894754000,2.0188456
BA,Boeing Company,Industrials,329.66,27.29,1.9648397,6.477290555020001,13.47,361.45,163.69,205617405233,12476000000,2.1560605
BWA,BorgWarner,Consumer Discretionary,51.94,14.15,1.2363636,0.64216725384,0.55,58.22,37.54,11596117445,867900000,1.5831376
BXP,Boston Properties,Real Estate,112.09,18.05,2.7744062,3.1098319095800004,2.93,140.13,111.87,17799878487,1546846000,6.839459
BSX,Boston Scientific,Health Care,25.2,20,0,0,0.07,29.93,23.29,36142506007,1726000000,4.055685
BHF,Brighthouse Financial Inc,Financials,55.44,22.63,0,0,-24.62,75,52.751,7066613254,0,1.4188358
BMY,Bristol-Myers Squibb,Health Care,62.69,20.83,2.5546863,1.6015328414699999,2.65,66.1,51.12,102506501960,5170000000,6.503231
AVGO,Broadcom,Information Technology,229.57,15.94,2.9488583,6.76969399931,4.01,285.68,202.61,92791974933,7016000000,6.961893
BF.B,Brown-Forman Corp.,Consumer Staples,63.33,37.04,1.1216964,0.71037033012,1.7,69.9028,45.415,5498033502,1139000000,1.8411398
CHRW,C. H. Robinson Worldwide,Industrials,90.47,26,1.987685,1.7982586194999999,3.57,100.18,63.41,12932483889,868096000,0.85282737
CA,"CA, Inc.",Information Technology,32.66,14.32,3,0.9797999999999999,1.85,36.56,30.45,14175422936,1613000000,3.3742425
COG,Cabot Oil & Gas,Energy,23.01,60.55,1.0269576,0.23630294376000002,-0.92,29.57,21.4,10808821635,404951000,8.636729
CDNS,Cadence Design Systems,Information Technology,36.82,34.09,0,0,0.74,46,29.01,10890625200,455607000,5.751737
CPB,Campbell Soup,Consumer Staples,44.83,14.84,3.125,1.4009375,2.89,64.23,43.5,13467193376,1683000000,2.3898203
COF,Capital One Financial,Financials,91.8,11.85,1.6306564,1.4969425751999998,3.45,106.5,76.05,47637260000,0,1.5931405
CAH,Cardinal Health Inc.,Health Care,66.63,12.29,2.8394227,1.89190734501,4.04,84.88,54.66,20493281175,1913000000,0.21131156
KMX,Carmax Inc,Consumer Discretionary,64.34,19.44,0,0,3.97,77.64,54.29,11827453706,1339628000,0.6913859
CCL,Carnival Corp.,Consumer Discretionary,66.76,17.48,2.6041667,1.7385416889200003,3.58,72.7,54.75,49180044050,4711000000,2.8147783
CAT,Caterpillar Inc.,Industrials,145.99,21.22,2.0215108,2.95120361692,1.26,173.24,90.34,91822049046,8136000000,2.0468428
CBOE,CBOE Holdings,Financials,111.15,35.06,0.9426963,1.04780693745,2.27,138.54,76.75,12998295607,488406000,8.249042
CBG,CBRE Group,Real Estate,41.92,15.82,0,0,1.69,46.6,30.43,14440591731,1652961000,1.4622321
CBS,CBS Corp.,Consumer Discretionary,51.8,12.05,1.3473054,0.6979041971999999,2.81,70.095,52.75,20431395736,2841000000,2.1055017
CELG,Celgene Corp.,Health Care,91.02,13.27,0,0,3.58,147.17,92.85,74921079154,5233000000,5.830071
CNC,Centene Corporation,Health Care,100.36,19.12,0,0,3.23,112.42,65.03,18012494506,2063000000,0.5028663
CNP,CenterPoint Energy,Utilities,25.85,19.73,4.2109256,1.0885242676000002,1,30.45,25.51,11362043297,2337000000,1.6262617
CTL,CenturyLink Inc,Telecommunication Services,16.2,8.35,12.661196,2.051113752,1.16,27.61,13.161,18237196861,5577000000,1.4795984
CERN,Cerner,Health Care,61.22,27.09,0,0,1.84,73.86,51.2617,21101697598,1523440000,5.5560412
CF,CF Industries Holdings Inc,Materials,37.46,-59.46,3.0395136,1.13860179456,-1.2,43.98,25.04,9209106695,711000000,3.0044448
SCHW,Charles Schwab Corporation,Financials,48.9,29.82,0.76878726,0.37593697014,1.61,56.25,37.16,69750188843,0,7.949615
CHTR,Charter Communications,Consumer Discretionary,348.65,162.92,0,0,34.08,408.83,308.3,86708878113,14694000000,2.1208634
CHK,Chesapeake Energy,Energy,2.82,4.7,0,0,-6.44,6.59,2.8,2626102121,1470000000,0.40765184
CVX,Chevron Corp.,Energy,112.3,27.52,3.885853,4.363812919,4.85,133.88,102.55,218978820159,28877000000,1.6489863
CMG,Chipotle Mexican Grill,Consumer Discretionary,266.01,45.86,0,0,0.8,499,263,7685283970,401293000,2.5523853
CB,Chubb Limited,Financials,140.39,17.5,1.9251627,2.70273591453,8.2,157.5,130.17,68424670566,0,2.0985637
CHD,Church & Dwight,Consumer Staples,47.38,24.42,1.8366054,0.87018363852,2.92,54.1799,43.21,11838963451,868000000,3.1682448
CI,CIGNA Corp.,Health Care,189.27,18.11,0.020466639,0.038737207635299996,7.2,227.13,141.93,47680910480,0,1.550762
XEC,Cimarex Energy,Energy,100.19,26.37,0.30214334,0.30271741234599997,-4.64,136.31,89.49,10089082025,1061056000,7.556446
CINF,Cincinnati Financial,Financials,70.34,27.48,2.918904,2.0531570736,3.55,81.98,68.24,11916533018,0,2.756679
CTAS,Cintas Corporation,Industrials,149.32,32.75,1.0344827,1.54468956764,4.38,169.96,113.79,16676145923,1097295000,2.7614057
CSCO,Cisco Systems,Information Technology,38.77,17.87,2.8755577,1.11485372029,1.91,42.98,30.36,199425716482,15447000000,5.484418
C,Citigroup Inc.,Financials,71.87,13.48,1.7068943,1.2267449334100002,-3.1,80.7,56.14,192709302000,0,2.1857586
CFG,Citizens Financial Group,Financials,42.19,16.04,1.9625335,0.8279928836499999,3.27,48.23,31.51,22008050974,0,3.3917346
CTXS,Citrix Systems,Information Technology,84.53,20.37,0,0,-0.24,95,73.3346,13199167493,810268000,4.7538714
CME,CME Group Inc.,Financials,153.04,32.15,3.6828613,5.6362509335199995,11.94,163,114.8176,54423298745,2851800000,14.881806
CMS,CMS Energy,Utilities,41.77,21.42,3.3918407,1.4167718603900001,1.99,50.85,41.07,11873960824,2099000000,2.4711676
KO,Coca-Cola Company (The),Consumer Staples,43.1,22.8,3.3213644,1.4315080564000002,1.49,48.615,40.22,189855335601,8589000000,6.822138
CTSH,Cognizant Technology Solutions,Information Technology,75.16,22.44,1.0454783,0.78578149028,2.54,79.28,54.76,45119684067,2946000000,3.9678397
CL,Colgate-Palmolive,Consumer Staples,68.95,24.02,2.2801766,1.5721817657,2.28,77.91,66.26,61616643498,4064000000,4.000737
CMCSA,Comcast Corp.,Consumer Discretionary,38.19,18.54,1.8929017,0.7228991592299999,4.74,44,34.78,186476996883,28675000000,2.1797748
CMA,Comerica Inc.,Financials,89.18,18.89,1.2823253,1.14357770254,4.13,98.18,64.04,16274969256,0,4.905472
CAG,Conagra Brands,Consumer Staples,35.49,18.2,2.3683476,0.84052656324,1.46,41.68,32.16,14379717835,1281200000,1.8294994
CXO,Concho Resources,Energy,140.09,84.39,0,0,-11.04,162.91,106.73,22021882339,2151190000,12.271951
COP,ConocoPhillips,Energy,53.24,72.93,2.049254,1.0910228296,-0.65,61.315,42.265,65482462410,5328000000,2.0764177
ED,Consolidated Edison,Utilities,74.73,18.64,3.8001595,2.8398591943500002,4.1,89.7,72.63,23335777662,4288000000,2.960244
STZ,Constellation Brands,Consumer Staples,208.73,30.92,0.9712818,2.02735650114,8.71,229.5,152.01,41697453163,3033300000,5.145596
GLW,Corning Inc.,Information Technology,28.45,16.45,2.0791416,0.5915157851999999,-0.78,35.1,26.31,25759280346,2970000000,2.544682
COST,Costco Wholesale Corp.,Consumer Staples,178.61,30.69,1.0917627,1.9499973584700003,6.09,199.88,150,80439804508,5679000000,0.61203885
COTY,"Coty, Inc",Consumer Staples,19.96,24.64,2.860412,0.5709382352000001,-0.63,21.175,14.24,13101112504,211400000,2.0061796
CCI,Crown Castle International Corp.,Real Estate,103.81,21.45,3.862069,4.0092138289,1.02,114.97,86.93,44183023189,2292600000,10.125291
CSRA,CSRA Inc.,Information Technology,30.85,15.12,1.275917,0.39362039449999997,1.83,33.79,27.38,5134501276,543000000,1.3324839
CSX,CSX Corp.,Industrials,50.47,21.94,1.5102888,0.7622427573600001,6.07,60.04,45.41,47340511707,5003000000,4.216355
CMI,Cummins Inc.,Industrials,165.73,16.83,2.5008683,4.14468903359,8.23,194.18,143.8301,28669230787,2924000000,1.9406168
CVS,CVS Health,Consumer Staples,70.55,12.36,2.6899798,1.8977807489,4.91,84,66.45,75323141722,11704000000,0.549852
DHI,D. R. Horton,Consumer Discretionary,44.55,16.32,1.0801469,0.48120544395,2.73,53.32,29.3716,17390873686,1691000000,1.1931022
DHR,Danaher Corp.,Health Care,92.16,22.87,0.5879265,0.5418330624,3.53,104.82,78.97,66351150000,4339800000,3.688278
DRI,Darden Restaurants,Consumer Discretionary,91.33,22.72,2.6503997,2.4206100460099997,3.81,100.11,71.7,11745595320,997600000,1.5278828
DVA,DaVita Inc.,Health Care,71.91,20.55,0,0,4.3,80.71,52.51,13685178000,2252294000,1.1451397
DE,Deere & Co.,Industrials,153.66,23.14,1.4866204,2.28434090664,6.64,171.96,106.72,52186628646,4053300000,2.3746448
DAL,Delta Air Lines Inc.,Industrials,51.23,10.37,2.2655525,1.16064254575,4.94,60.79,43.81,38393603535,8348000000,0.91792434
XRAY,Dentsply Sirona,Health Care,56.85,22.65,0.60034305,0.341295023925,1.99,68.98,52.535,13390513478,-411100000,4.626262
DVN,Devon Energy Corp.,Energy,34.94,23.93,0.6528836,0.22811752983999997,-6.89,47.25,28.7947,19317380000,3723000000,2.0660408
DLR,Digital Realty Trust Inc,Real Estate,98.96,16.55,3.5710857,3.53394640872,2.19,127.23,101.101,21400952517,1260662000,12.434961
DFS,Discover Financial Services,Financials,72.4,12.13,1.8269607,1.3227195468000001,5.41,81.93,57.5,27433540000,0,2.3610325
DISCA,Discovery Communications-A,Consumer Discretionary,22.87,11,0,0,1.96,30.25,15.99,8763756733,2100000000,1.804088
DISCK,Discovery Communications-C,Consumer Discretionary,21.58,10.37,0,0,1.96,29.18,14.99,8320262123,2100000000,1.7147918
DISH,Dish Network,Consumer Discretionary,43.77,16.09,0,0,3.06,66.5,42.48,21032719056,2754331000,1.8521843
DG,Dollar General,Consumer Discretionary,95.1,21.18,1.0625255,1.0104617505,4.43,105.82,65.97,26580644874,2457604000,1.5283886
DLTR,Dollar Tree,Consumer Discretionary,101.58,26.66,0,0,3.77,116.65,65.63,25151198417,2430300000,1.6097589
D,Dominion Energy,Utilities,73.31,20.42,4.5281997,3.31962320007,4.91,85.3,71.59,47543571860,6428000000,3.7954214
DOV,Dover Corp.,Industrials,96.2,23.87,1.8815053,1.8100080986,5.15,109.06,75.51,15566645713,1513291000,1.986176
DWDP,DowDuPont,Materials,68.21,49.43,2.1529746,1.4685439746599998,1.59,77.08,64.01,165203312427,5250000000,2.6922395
DPS,Dr Pepper Snapple Group,Consumer Staples,116.93,26.57,1.9661016,2.2989626008800004,4.54,126.65,83.23,21209783858,1507000000,4.2149186
DTE,DTE Energy Co.,Utilities,98.49,19.12,3.5559585,3.5022635266499997,4.82,116.74,96.56,17808073691,2790000000,1.9091922
DUK,Duke Energy,Utilities,74.32,16.7,4.7849464,3.5561721644799995,3.12,91.8,72.93,52078185682,9895000000,2.9348857
DRE,Duke Realty Corp,Real Estate,24.52,19.77,3.1533308,0.7731967121600001,0.88,30.14,24.73,9035293365,529483000,16.077257
DXC,DXC Technology,Information Technology,91.92,79.93,0.7493755,0.6888259596,-0.89,102.95,67.76,27408621020,1628000000,1.9598055
ETFC,E*Trade,Financials,48.48,22.14,0,0,2.15,56,32.25,13754977266,0,5.689136
EMN,Eastman Chemical,Materials,93.57,12.28,2.2630835,2.1175672309499998,10.12,104.08,76.02,14226830813,2152000000,1.4904785
ETN,Eaton Corporation,Industrials,79.41,17.08,2.9404557,2.3350158713699996,6.68,89.85,69.45,35961772000,4253000000,1.8161736
EBAY,eBay Inc.,Information Technology,41.02,24.86,0,0,-1.07,46.99,31.89,44216696399,2941000000,4.6720185
ECL,Ecolab Inc.,Materials,127.76,28.08,1.2319711,1.57396627736,4.14,140.5,119.61,38460272282,2848600000,3.7360687
EIX,Edison Int'l,Utilities,58.07,13.23,4.0542803,2.35432057021,3.96,83.38,58.76,19447670886,4284000000,2.161095
EW,Edwards Lifesciences,Health Care,123.78,32.57,0,0,2.88,138.48,89.2,27447099863,1156700000,7.8283277
EA,Electronic Arts,Information Technology,116.54,34.48,0,0,3.07,131.01,81.27,37890226992,1560000000,7.4415817
